Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
15000.0 ; 1.086667E-5
17500.0 ; 1.082956E-5
20000.0 ; 1.079798E-5
22500.0 ; 1.109166E-5
25000.0 ; 1.136163E-5
27500.0 ; 1.16115E-5
30000.0 ; 1.18444E-5
32500.0 ; 1.206278E-5
35000.0 ; 1.226854E-5
40000.0 ; 1.26482E-5
45000.0 ; 1.299284E-5
50000.0 ; 1.330927E-5
62500.0 ; 1.441323E-5
75000.0 ; 1.538306E-5
87500.0 ; 1.625378E-5
100000.0 ; 1.704774E-5
125000.0 ; 1.839744E-5
130000.0 ; 1.864548E-5
135000.0 ; 1.888731E-5
140000.0 ; 1.91233E-5
142500.0 ; 1.923923E-5
145000.0 ; 1.935382E-5
150000.0 ; 1.957916E-5
151000.0 ; 1.962363E-5
152000.0 ; 1.96679E-5
152900.0 ; 1.970759E-5
154000.0 ; 1.975589E-5
155000.0 ; 1.979959E-5
156000.0 ; 1.984312E-5
158000.0 ; 1.992962E-5
160000.0 ; 2.00154E-5
165000.0 ; 2.02268E-5
170000.0 ; 2.043403E-5
175000.0 ; 2.063728E-5
180000.0 ; 2.083673E-5
200000.0 ; 2.159958E-5
225000.0 ; 2.165101E-5
250000.0 ; 2.169674E-5
275000.0 ; 2.173819E-5
300000.0 ; 2.17761E-5
325000.0 ; 2.181103E-5
350000.0 ; 2.184342E-5
375000.0 ; 2.187362E-5
400000.0 ; 2.190191E-5
425000.0 ; 2.192852E-5
450000.0 ; 2.195363E-5
475000.0 ; 2.197741E-5
500000.0 ; 2.199999E-5
525000.0 ; 2.200702E-5
550000.0 ; 2.201372E-5
575000.0 ; 2.202013E-5
600000.0 ; 2.202626E-5
625000.0 ; 2.203214E-5
650000.0 ; 2.20378E-5
675000.0 ; 2.204324E-5
700000.0 ; 2.204849E-5
725000.0 ; 2.205355E-5
750000.0 ; 2.205844E-5
775000.0 ; 2.206317E-5
800000.0 ; 2.206776E-5
825000.0 ; 2.20722E-5
850000.0 ; 2.207651E-5
875000.0 ; 2.20807E-5
900000.0 ; 2.208477E-5
925000.0 ; 2.208873E-5
950000.0 ; 2.209258E-5
975000.0 ; 2.209634E-5
1000000.0 ; 2.21E-5
1050000.0 ; 2.210114E-5
1100000.0 ; 2.210223E-5
1150000.0 ; 2.210327E-5
1200000.0 ; 2.210427E-5
1250000.0 ; 2.210522E-5
1300000.0 ; 2.210614E-5
1350000.0 ; 2.210702E-5
1400000.0 ; 2.210788E-5
1450000.0 ; 2.21087E-5
1500000.0 ; 2.210949E-5
1550000.0 ; 2.211026E-5
1600000.0 ; 2.2111E-5
1650000.0 ; 2.211172E-5
1680000.0 ; 2.211215E-5
1700000.0 ; 2.211242E-5
1710000.0 ; 2.211256E-5
1720000.0 ; 2.21127E-5
